Date,Open,High,Low,Close,Volume
Jan 12 2018,304.65,304.65,300.55,302.25,17590000
Jan 15 2018,303.95,305.25,301.55,302.6,18190000
Jan 16 2018,302.4,303.35,295.3,296.15,18040000
Jan 17 2018,296,308.4,292.6,307.1,26280000
Jan 18 2018,315,317.8,300.5,303.25,40000000
Jan 19 2018,303.95,310,302.5,309.25,18460000
Jan 22 2018,308.35,308.75,304.05,306.5,12620000
Jan 23 2018,306.4,320.55,306.35,318.1,35250000
Jan 24 2018,317.7,331.6,316.2,329.9,38070000
Jan 25 2018,332.75,332.75,311.85,313.15,42470000
Jan 29 2018,313.15,316.9,311,312.1,23600000
Jan 30 2018,312.05,318.85,311,313.55,25810000
Jan 31 2018,313,316.6,307.85,313.25,16410000
Feb 01 2018,316.9,317.4,305,306.05,19520000
Feb 02 2018,302.9,305.75,295.5,297.35,23270000
Feb 05 2018,292.65,300.4,290,298.05,18940000
Feb 06 2018,285,297.3,282.9,291.75,30580000
Feb 07 2018,296.6,297.9,290,292.8,21460000
Feb 08 2018,292.9,303.3,292.55,301.4,18930000
Feb 09 2018,297,300.6,295,296.4,15750000
Feb 12 2018,288.25,292.4,285.15,288.75,50840000
Feb 14 2018,288.7,288.7,275,276.2,45640000
Feb 15 2018,274.8,282.3,274.25,278.7,26060000
Feb 16 2018,280.5,281.2,270.05,271.65,30340000
Feb 19 2018,271.5,272,256.65,268.5,43850000
Feb 20 2018,269,274.2,264.8,269.65,33460000
Feb 21 2018,272.2,274.1,267.4,273.3,23710000
Feb 22 2018,270.4,273.6,269.45,272.6,25580000
Feb 23 2018,273.45,277.2,272.5,276.05,15480000
Feb 26 2018,280,280,273.85,274.45,15310000
Feb 27 2018,273,275.9,265.95,267.6,20820000
Feb 28 2018,264.25,269.7,260.8,268,26810000
Mar 01 2018,266.3,270,261.25,262.15,22860000
Mar 05 2018,260.45,265,258.75,263.5,18480000
Mar 06 2018,265.85,266,255,256.55,20780000
Mar 07 2018,255.05,255.35,246.05,246.65,31260000
Mar 08 2018,247,257.95,244.3,256.8,33130000
Mar 09 2018,257,257.4,251.65,253.25,21540000
Mar 12 2018,254.1,255.25,247.25,252.85,25330000
Mar 13 2018,251.3,262.4,249.6,254.7,37650000
Mar 14 2018,252.5,257.85,250,257.05,25470000
Mar 15 2018,257,258.8,252.55,253.7,18340000
Mar 16 2018,250.65,255.7,250.1,252.3,25730000
Mar 19 2018,252.9,253.6,246.1,247.95,18170000
Mar 20 2018,246.85,252.25,245.35,249.1,20560000
Mar 21 2018,251.75,254.3,247.1,248,19530000
Mar 22 2018,247,247.35,240.65,241.55,26830000
Mar 23 2018,237.8,239.65,232.35,234.8,27150000
Mar 26 2018,234.75,247.85,234.25,246.5,30370000
Mar 27 2018,250,255.5,248,254.35,31210000
Mar 28 2018,252,256.2,248.7,249.9,36670000
Apr 02 2018,251.8,252,244.9,246.15,14990000
Apr 03 2018,249.55,252.8,248.25,250.5,19880000
Apr 04 2018,251.7,253,245.5,247.3,18820000
Apr 05 2018,252.6,261.9,250,259.3,22880000
